,KSEP,KSEP,KSEP,KS2,KS2,KS2,KREP,KREP,KREP,Kahuku,Kahuku,Kahuku,Kawailoa,Kawailoa,Kawailoa,WaiverPV1,WaiverPV1,WaiverPV1,NPMWind,NPMWind,NPMWind,FuturePV,FuturePV,FuturePV,FutureWind,FutureWind,FutureWind,WaiverPV2,WaiverPV2,WaiverPV2,FuturePV2,FuturePV2,FuturePV2,OffShrWind1,OffShrWind1,OffShrWind1,FIT3,FIT3,FIT3,DGPV,DGPV,DGPV,FIT1-2,FIT1-2,FIT1-2,R-GExpDGPVUC,R-GExpDGPVUC,R-GExpDGPVUC,R-GExpDGPVC,R-GExpDGPVC,R-GExpDGPVC,West Loch,West Loch,West Loch,CBRE PV,CBRE PV,CBRE PV,CBRE Wind,CBRE Wind,CBRE Wind,G-GExpDGPVC,G-GExpDGPVC,G-GExpDGPVC,G-GExpDGPVUC,G-GExpDGPVUC,G-GExpDGPVUC,J-GExpDGPVC,J-GExpDGPVC,J-GExpDGPVC,J-GExpDGPVUC,J-GExpDGPVUC,J-GExpDGPVUC
,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total,On Peak,Off Peak,Total
2024,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.3,119.2,65.4,0.2,65.6,58.5,30.9,89.5,472.5,0.8,473.3,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,33.8,1080.2,1.0,1081.1,37.7,0.0,37.8,78.8,0.0,78.8,138.5,0.0,138.5,45.6,0.0,45.6,32.2,0.1,32.3,12.2,7.8,20.0,1.3,0.0,1.3,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
2025,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,580.4,421.6,1001.9,33.8,0.0,33.8,1136.5,1.0,1137.5,37.7,0.0,37.8,93.1,0.0,93.1,163.5,0.0,163.5,45.4,0.0,45.4,32.2,0.1,32.3,12.2,7.8,20.0,1.3,0.0,1.3,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
2026,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.4,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.7,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,579.8,422.2,1001.9,33.8,0.0,33.8,1196.5,1.1,1197.5,37.7,0.0,37.8,107.4,0.0,107.4,188.6,0.0,188.6,45.2,0.0,45.2,32.2,0.1,32.3,12.2,7.8,20.1,1.4,0.0,1.4,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
2027,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.6,30.9,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,581.4,420.5,1001.9,33.8,0.0,33.8,1256.9,1.1,1258.0,37.7,0.0,37.8,121.4,0.0,121.4,213.4,0.0,213.4,45.0,0.0,45.0,32.2,0.1,32.3,12.2,7.8,20.0,1.5,0.0,1.5,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
2028,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.6,30.9,89.5,902.0,1.6,903.7,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,581.0,420.9,1001.9,33.8,0.0,33.8,1321.7,1.2,1322.8,37.7,0.0,37.8,135.7,0.0,135.7,238.5,0.0,238.5,44.8,0.0,44.8,32.2,0.1,32.3,12.2,7.8,20.0,1.5,0.0,1.5,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
2029,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,578.5,423.4,1002.0,33.8,0.0,33.8,1379.5,1.2,1380.7,37.7,0.0,37.8,149.1,0.0,149.1,261.9,0.0,261.9,44.4,0.0,44.6,32.2,0.1,32.3,12.2,7.8,19.9,1.6,0.0,1.6,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
2030,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.3,119.1,65.4,0.2,65.6,58.5,30.9,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,580.2,421.7,1001.9,33.8,0.0,33.8,1441.5,1.3,1442.8,37.7,0.0,37.8,162.6,0.0,162.6,285.7,0.0,285.7,44.2,0.0,44.2,32.2,0.1,32.3,12.2,7.8,20.0,1.7,0.0,1.7,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
2031,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,580.4,421.6,1001.9,33.8,0.0,33.8,1504.1,1.3,1505.4,37.7,0.0,37.8,175.9,0.0,175.9,309.1,0.0,309.1,44.0,0.0,44.0,32.2,0.1,32.3,12.2,7.8,20.0,1.7,0.0,1.7,1.9,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0
2032,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,581.6,420.3,1001.9,33.8,0.0,33.8,1571.5,1.4,1572.9,37.7,0.0,37.8,189.6,0.0,189.6,333.2,0.0,333.2,43.8,0.0,43.8,32.2,0.1,32.3,12.3,7.8,20.1,1.8,0.0,1.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.5,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.7,30.8,89.5,902.1,1.6,903.7,0.0,0.0,0.0,259.8,0.6,260.4,0.0,0.0,0.0,581.4,420.5,1001.9,33.8,0.0,33.8,1630.6,1.4,1632.1,37.7,0.0,37.8,202.1,0.0,202.1,355.1,0.0,355.1,43.6,0.0,43.6,32.2,0.1,32.3,12.2,7.8,20.1,1.8,0.0,1.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.1,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.6,31.0,89.5,902.1,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,578.8,423.1,1001.9,33.8,0.0,33.8,1694.6,1.5,1696.1,37.7,0.0,37.8,214.9,0.0,214.9,377.6,0.0,377.6,43.2,0.0,43.4,32.2,0.1,32.3,12.1,7.8,19.9,1.9,0.0,1.9,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
2035,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,578.5,423.4,1002.0,33.8,0.0,33.8,1759.1,1.6,1760.7,37.7,0.0,37.8,227.5,0.0,227.5,399.8,0.0,399.8,43.0,0.0,43.0,32.2,0.1,32.3,12.2,7.8,19.9,2.0,0.0,2.0,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
2036,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.9,47.3,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,580.6,421.4,1001.9,33.8,0.0,33.8,1829.2,1.6,1830.8,37.7,0.0,37.8,240.6,0.0,240.6,423.0,0.0,423.0,42.8,0.0,42.8,32.2,0.1,32.3,12.2,7.8,20.1,2.0,0.0,2.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
2037,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.4,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,902.0,1.6,903.7,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,579.8,422.2,1001.9,33.8,0.0,33.8,1889.5,1.7,1891.2,37.7,0.0,37.8,252.3,0.0,252.3,443.4,0.0,443.4,42.6,0.0,42.6,32.2,0.1,32.3,12.2,7.8,20.1,2.1,0.0,2.1,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
2038,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.6,30.9,89.5,902.0,1.6,903.6,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,581.4,420.5,1001.9,33.8,0.0,33.8,1955.4,1.7,1957.2,37.7,0.0,37.8,264.4,0.0,264.4,464.7,0.0,464.7,42.4,0.0,42.4,32.2,0.1,32.3,12.2,7.8,20.0,2.1,0.0,2.1,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
2039,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.5,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.7,30.8,89.5,902.1,1.6,903.7,0.0,0.0,0.0,259.8,0.6,260.4,0.0,0.0,0.0,581.4,420.5,1001.9,33.8,0.0,33.8,2021.8,1.8,2023.6,37.7,0.0,37.8,276.4,0.0,276.4,485.7,0.0,485.7,42.2,0.0,42.2,32.2,0.1,32.3,12.2,7.8,20.1,2.2,0.0,2.2,2.4,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
2040,1.9,0.0,1.9,11.3,0.0,11.3,9.0,0.0,9.0,41.5,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,1503.3,2.7,1506.0,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,578.5,423.4,1002.0,33.8,0.0,33.8,2094.6,1.8,2096.4,37.7,0.0,37.8,288.9,0.0,288.9,507.9,0.0,507.9,41.8,0.0,42.0,32.2,0.1,32.3,12.2,7.8,20.0,2.2,0.0,2.2,2.4,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
2041,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.2,71.6,71.9,47.3,119.1,65.4,0.2,65.6,58.5,30.9,89.5,1503.3,2.7,1506.0,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,580.2,421.7,1001.9,33.8,0.0,33.8,2156.1,1.9,2158.0,37.7,0.0,37.8,299.8,0.0,299.8,526.8,0.0,526.8,41.6,0.0,41.6,32.2,0.1,32.3,12.2,7.8,20.0,2.3,0.0,2.3,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2042,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.3,30.2,71.5,71.8,47.3,119.1,65.4,0.2,65.6,58.5,31.0,89.5,1503.3,2.7,1506.0,0.0,0.0,0.0,259.7,0.6,260.3,0.0,0.0,0.0,580.4,421.6,1001.9,33.8,0.0,33.8,2223.9,2.0,2225.9,37.7,0.0,37.8,311.2,0.0,311.2,546.9,0.0,546.9,41.4,0.0,41.4,32.2,0.1,32.3,12.2,7.8,20.0,2.3,0.0,2.3,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2043,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.4,30.1,71.5,71.9,47.2,119.1,65.4,0.2,65.6,58.5,31.0,89.5,1503.3,2.7,1506.1,0.0,0.0,0.0,259.7,0.6,260.4,0.0,0.0,0.0,579.8,422.2,1001.9,33.8,0.0,33.8,2292.2,2.0,2294.2,37.7,0.0,37.8,322.5,0.0,322.5,566.7,0.0,566.7,41.2,0.0,41.2,32.2,0.1,32.3,12.2,7.8,20.1,2.4,0.0,2.4,2.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
2044,1.9,0.0,1.9,11.2,0.0,11.2,9.0,0.0,9.0,41.4,30.1,71.5,71.9,47.3,119.1,65.4,0.2,65.6,58.7,30.8,89.5,1503.4,2.7,1506.1,0.0,0.0,0.0,259.8,0.6,260.4,0.0,0.0,0.0,581.3,420.6,1001.9,33.8,0.0,33.8,2367.7,2.1,2369.8,37.7,0.0,37.8,334.4,0.0,334.4,587.9,0.0,587.9,41.0,0.0,41.0,32.2,0.1,32.3,12.2,7.9,20.1,2.4,0.0,2.4,2.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
2045,1.9,0.0,1.9,11.2,0.0,11.3,9.0,0.0,9.0,41.4,30.1,71.6,71.9,47.2,119.1,65.4,0.2,65.6,58.6,31.0,89.5,4037.8,7.1,4044.9,36.4,23.3,59.8,259.7,0.6,260.3,0.0,0.0,0.0,578.8,423.1,1001.9,33.8,0.0,33.8,2430.3,2.2,2432.5,37.7,0.0,37.8,344.5,0.0,344.5,605.3,0.0,605.3,40.8,0.0,40.8,32.2,0.1,32.3,12.1,7.8,19.9,2.5,0.0,2.5,2.7,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
